OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33638,2025-069D,2026-02-02T03:59:11.084928,15.30225702,0.00015727,53.1593,307.6445,78.3096,281.8081,0,U,63436,999,4796,0.0017251631,0.00051128,0.0
STARLINK-33726,2025-069E,2026-02-02T00:43:27.219360,15.3020434,0.00012391,53.1601,308.2188,98.6316,261.4825,0,U,63437,999,4789,0.00040489994,0.00011653,0.0
STARLINK-33681,2025-069F,2026-02-02T03:40:55.659936,15.30203597,0.00014645,53.1611,307.5671,70.4613,289.6546,0,U,63438,999,4796,0.000478665,0.00013845,0.0
STARLINK-33730,2025-069G,2026-02-01T23:54:49.394592,15.30192322,0.00015706,53.1594,308.0052,78.8775,281.2402,0,U,63439,999,4794,0.00072344934,0.00021123,0.0
STARLINK-33743,2025-069H,2026-02-02T03:54:36.040896,15.30202793,0.00014521,53.1598,307.623,86.9028,273.2139,0,U,63440,999,4785,0.00083867704,0.00024564,0.0
STARLINK-33715,2025-069J,2026-02-02T00:41:56.086368,15.30206301,0.00014386,53.1604,308.2018,99.0489,261.0675,0,U,63441,999,4794,0.00057657889,0.00016759,0.0
STARLINK-33762,2025-069K,2026-02-02T00:38:53.623392,15.30211555,0.00012844,53.1608,308.1998,81.8118,278.3029,0,U,63442,999,4794,0.00062751679,0.00018278,0.0
STARLINK-33753,2025-069L,2026-02-01T22:49:09.759360,15.3178744,0.00076956,53.1609,308.4315,230.8183,129.2136,0,U,63443,999,4792,0.036740372,0.01247646,0.0
STARLINK-33747,2025-069M,2026-02-02T03:22:41.352960,15.30205086,0.00014938,53.161,307.4851,74.7933,285.3233,0,U,63444,999,4791,0.00075277048,0.00022005,0.0
STARLINK-33659,2025-069N,2026-02-02T04:17:23.504928,15.3020741,0.00012809,53.1587,307.7191,78.5888,281.5256,0,U,63445,999,4791,0.0011880288,0.00035001,0.0
STARLINK-33746,2025-069P,2026-02-02T03:39:24.024960,15.30206124,0.00010738,53.1609,307.5551,98.7022,261.4101,0,U,63446,999,4791,0.0010312227,0.00030313,0.0
STARLINK-33799,2025-069Q,2026-02-02T01:06:14.876064,15.30208159,0.00012667,53.1588,308.3124,80.5024,279.612,0,U,63447,999,4783,0.00086622451,0.0002539,0.0
STARLINK-33797,2025-069R,2026-02-02T03:13:34.193856,15.30204491,0.00013688,53.1596,307.4433,78.6482,281.4673,0,U,63448,999,4791,0.00034748354,9.947e-05,0.0
STARLINK-33798,2025-069S,2026-02-02T04:18:54.497952,15.30202355,0.00012914,53.159,307.7148,78.3455,281.7691,0,U,63449,999,4769,0.0010452952,0.0003073,0.0
STARLINK-33736,2025-069T,2026-02-02T03:04:26.659776,15.30210592,8.809e-05,53.1596,307.4009,153.4088,206.6958,0,U,63450,999,4791,0.00055637931,0.0001616,0.0
STARLINK-33740,2025-069U,2026-02-02T03:34:50.576736,15.30199285,0.00012635,53.161,307.5326,86.9127,273.2019,0,U,63451,999,4785,0.00094170961,0.00027635,0.0
STARLINK-33763,2025-069V,2026-02-02T03:12:02.811168,15.30200287,0.00013969,53.1603,307.4193,82.0283,278.0877,0,U,63452,999,4796,0.00077332562,0.00022614,0.0
STARLINK-33784,2025-069W,2026-02-02T01:04:43.394016,15.30199864,0.00012164,53.1591,308.3041,70.7575,289.3557,0,U,63453,999,4794,0.00032959101,9.415e-05,0.0
STARLINK-33768,2025-069X,2026-02-02T01:56:13.732800,15.30204224,0.00011844,53.1614,307.8061,80.2667,279.8467,0,U,63454,999,4795,0.00084427897,0.00024732,0.0
STARLINK-33761,2025-069Y,2026-02-02T03:16:35.306400,15.30168239,0.00012793,53.1599,307.4453,101.6134,258.501,0,U,63455,999,4796,0.00041861885,0.00012047,0.0
STARLINK-33737,2025-069Z,2026-02-02T03:25:43.294080,15.30203803,0.00012906,53.1611,307.4771,88.0459,272.069,0,U,63456,999,4785,0.001182709,0.00034838,0.0
STARLINK-33795,2025-069AA,2026-02-02T00:57:07.884576,15.30172917,9.609e-05,53.1589,308.2654,88.3581,271.753,0,U,63457,999,4783,0.00054277415,0.00015737,0.0
STARLINK-33756,2025-069AB,2026-02-02T04:09:47.338848,15.3020308,0.00010244,53.1584,307.6687,86.4049,273.7069,0,U,63458,999,4796,0.0011131422,0.00032757,0.0
STARLINK-33780,2025-069AC,2026-02-02T03:21:09.824256,15.30210549,0.00014623,53.1608,307.4605,76.9346,283.1818,0,U,63459,999,4785,0.00062933685,0.00018332,0.0
STARLINK-33679,2025-070A,2026-02-02T04:30:27.065664,15.27610731,0.00024712,42.9981,100.6114,299.1354,60.925,0,U,63460,999,4754,0.00079753705,0.00021771,0.0
STARLINK-33706,2025-070B,2026-02-02T06:10:08.728608,15.27597163,0.00012555,43.0011,100.239,274.0551,86.0157,0,U,63461,999,4755,0.00083245566,0.00022728,0.0
STARLINK-33691,2025-070C,2026-02-02T04:56:08.767392,15.27611159,1.5e-05,42.9961,99.8442,251.9906,108.0929,0,U,63462,999,4750,0.00093825017,0.00025671,0.0
STARLINK-33696,2025-070D,2026-02-02T05:33:08.288352,15.27590668,0.00011388,43.0032,100.0458,263.5706,96.5016,0,U,63463,999,4755,0.00072047572,0.00019623,0.0
STARLINK-33701,2025-070E,2026-02-02T04:41:32.705088,15.27617624,0.00031606,43.0003,100.6351,288.2484,71.8024,0,U,63464,999,4754,0.0011786762,0.00032355,0.0
STARLINK-33685,2025-070F,2026-02-02T05:49:46.550496,15.27625011,0.00024045,43.0064,100.1289,263.0653,96.9925,0,U,63465,999,4755,0.0012459089,0.0003423,0.0
