OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
STARLINK-6181,56888,15.11832283,4.34e-05,43.0005,336.6762,332.7637,-0.060725,-0.00972345,0.0,0,-1,-0.09154482703814548,BSTAR,5.48306225344886
STARLINK-5528,56890,15.1146774,0.0001385,43.0019,336.6797,275.8767,-0.032532,-0.0052661,0.0,0,-1,-0.001962493248804542,BSTAR,3.024131455735197
AAC-AIS-SAT2,56996,14.85022059,0.0057134,98.1345,225.9707,0.4096,0.00043105,3.727e-05,0.0,3,-1,-0.05394145216599877,ECCENTRICITY,4.809457298734119
2023-085AF,57033,16.27331085,0.0016952,97.4698,220.7938,290.6093,0.0010712,0.03801175,2.5244e-06,0,-1,-0.19933246141360805,MEAN_MOTION_DOT,11.300112511917291
SHIYAN-25 (SY-25),57047,16.00941032,0.00157206,96.7429,146.5268,233.9058,-0.00010241369,-0.00056187,3.161907e-06,3,-1,-0.014824013376178058,MEAN_MOTION,1.6058610646126916
STARLINK-5850,57049,15.22366983,0.0001759,43.0006,2.4011,253.0156,0.035903,0.00912449,0.0,0,-1,-0.003902908359934232,BSTAR,2.9446171393605534
STARLINK-5839,57051,15.23865816,7.01e-05,43.0005,1.9384,287.031,0.03291,0.00871229,0.0,0,-1,-0.008196977121825322,BSTAR,2.683574331658039
STARLINK-5860,57052,15.23603443,6.64e-05,43.0003,1.9586,274.1412,0.03218,0.0084328,0.0,0,-1,-0.005028469692650583,BSTAR,2.6199053541696204
STARLINK-6223,57057,15.20889132,0.000101,43.0005,2.0556,259.6722,0.040574,0.00994637,0.0,0,-1,-0.016359815367491315,BSTAR,3.352011377509048
STARLINK-5822,57064,15.22031038,0.0001661,43.0007,2.1501,284.5858,0.035718,0.00897711,0.0,0,-1,-0.005286802752813846,BSTAR,2.9284818505449954
STARLINK-5827,57066,15.2039499,9.23e-05,43.0002,2.0211,298.1857,0.042611,0.01018221,0.0,0,-1,-0.033317472924271896,BSTAR,3.52967399003495
STARLINK-5520,57219,15.22863119,0.0002049,42.998,285.5132,242.0202,0.078889,0.02101446,0.0,0,-1,-0.09358515226336073,BSTAR,6.693760517877188
STARLINK-6332,57339,15.17048122,0.0001221,43.0001,144.079,292.5584,0.060766,0.01329619,0.0,0,-1,-0.024821616749764797,BSTAR,5.113112738394172
STARLINK-6321,57340,15.17297825,0.0001978,43.0,144.1669,296.6461,0.061399,0.01355133,0.0,0,-1,-0.02938639166870416,BSTAR,5.1683215914765945
STARLINK-6377,57341,15.14292246,0.000117,43.0006,144.9559,280.2695,-0.07235,-0.01233801,0.0,3,-1,-0.1649322879610543,INCLINATION,5.653018261060733
STARLINK-6379,57343,15.18424137,0.0001091,43.001,144.0322,292.303,0.055244,0.01251166,0.0,0,-1,-0.010543235047691613,BSTAR,4.63149617169411
STARLINK-6373,57345,15.13506255,0.0001674,43.0005,144.1095,293.7712,-0.082265,-0.01378331,0.0,3,-1,-0.1743468215292685,INCLINATION,5.653029141911671
STARLINK-6299,57358,15.11042695,0.0001684,43.0,131.9035,277.6115,0.081107,0.01517788,0.0,0,-1,-0.06498928831702944,BSTAR,6.887209548109122
LEO 3,57392,13.68418396,0.0017823,99.5499,212.9489,220.2022,1.2708e-05,-3.4e-07,0.0,3,-1,-0.011782528104538337,MEAN_MOTION,2.496370070089326
QIANKUN-1,57422,16.07710158,0.00514626,96.1778,137.4067,145.1918,1.6433182e-05,0.00015411,1.653544e-06,3,-1,-0.08310301723875257,ECCENTRICITY,4.279900834263047
2023-104B,57425,16.43696874,0.0014627,97.2606,178.5517,269.1524,0.00029503,0.09696374,2.4827e-06,0,-1,-0.23110319720100114,MEAN_MOTION_DOT,29.202164103102323
STARLINK-30237,57437,15.75131127,0.001914,42.9921,119.4319,101.1239,0.0067864,0.01187954,0.0,4,-1,-0.11687633844618317,MEAN_MOTION_DOT,11.66542631370431
STARLINK-30187,57473,15.9417841,0.0016432,42.9883,186.1571,22.612,0.0013714,0.00534081,0.0001221,4,-1,-0.12297688264734097,ECCENTRICITY,3.246742349238096
STARLINK-30327,57707,15.28660093,0.0024335,43.0022,337.4137,204.2934,0.0032054,0.00092835,0.0,0,-1,-0.040795297495390126,ECCENTRICITY,4.754013101636585
STARLINK-30366,57749,15.16641799,0.0001319,43.0013,66.5899,269.6701,0.11398,0.02545488,0.0,0,-1,-0.13297318764007027,BSTAR,9.754319543967712
BB3,57760,14.34786462,0.0163506,80.9953,75.5616,184.9097,0.00017666,5.97e-06,0.0,3,-1,-0.19624820422660583,ECCENTRICITY,14.741745664696102
STARLINK-30501,57917,15.27197192,6.04e-05,43.0002,217.451,173.276,-0.005692,-0.00151933,0.0,4,-1,-0.035330617204130554,BSTAR,2.6204933171076714
STARLINK-30476,57930,15.40013817,0.0018923,42.994,163.1606,7.1837,0.0026367,0.00109563,0.0,4,-1,-0.03327568530705538,ECCENTRICITY,3.8012771351281973
YAOGAN-39 03B,57988,15.17275373,0.0020509,34.9907,78.3277,228.1033,0.00037974,7.754e-05,0.0,0,-1,-0.00479429961583322,ECCENTRICITY,3.9251387036330425
STARLINK-30536,57993,15.25450417,0.0006525,43.0046,319.6166,1.6228,-0.018775,-0.00456282,0.0,4,-1,-0.0922008256959399,BSTAR,8.132885704211136
STARLINK-30546,58003,15.4991859,0.0001786,42.9994,317.6216,280.956,0.025368,0.01621814,0.0,0,-1,-0.02594769273683406,MEAN_MOTION_DOT,4.68200970354448
COSMOS 2571,58172,13.9732527,0.0011676,67.1487,122.834,7.3627,1.1397e-05,-5.9e-07,0.0,4,-1,-0.05995156476295238,MEAN_MOTION,4.543731948385691
ION SCV-013,58300,15.0473806,0.0100545,97.6241,143.9699,109.0901,0.00025735,3.991e-05,0.0,3,-1,-0.0390289962984246,ECCENTRICITY,8.862878972245714
LEO EXPRESS 1,58301,15.33347655,0.0077235,97.5206,171.7293,49.4259,0.00045678,0.00016129,0.0,3,-1,-0.014109066179673446,ECCENTRICITY,6.6863509215314885
CHUANGXIN 20A (CX-20A),58425,13.41488807,0.0013475,49.958,261.4019,25.2352,7.4537e-05,-8.7e-07,0.0,4,-1,-0.05337134289203871,MEAN_MOTION,6.530165267189276
CHUANGXIN 20B (CX-20B),58426,13.41482539,0.0011561,49.9578,261.4302,28.9858,0.00010612,-6.9e-07,0.0,4,-1,-0.04193159661117374,MEAN_MOTION,6.530388257030916
CHUANGXIN 20C (CX-20C),58427,13.41476826,0.0011515,49.9578,261.4152,16.3505,9.6392e-05,-7.4e-07,0.0,4,-1,-0.04804182164135873,MEAN_MOTION,6.530591502239166
STARLINK-30960,58456,16.03935014,0.0039325,42.9844,192.7545,8.9909,0.0028172,0.02006227,0.002909,3,-1,-0.3483266903947063,MEAN_MOTION_DDOT,24.43512120339314
STARLINK-31026,58508,15.21889173,0.0001933,43.0005,2.2349,254.7579,0.076168,0.01956878,0.0,0,-1,-0.11165170934784896,BSTAR,6.456440945622413
